id,customer,surface_lsd,products,rig_in_date,start_date,end_date,num_wells,valve_7_1_16,valve_5_1_8,valve_hyd,valve_man,gateway_pods,awc_pods,grease_unit,coil_trees,accumulator,techs,work_orders
26,Whitecap,10-09-065-04W6M,Frac Stack (Disposal),45540,45540,45544,1,,,,,,,,,,,
27,Chevron,13-19-62-18-W5M,Chevron,45545,45550,45578,5,10,15,20,2,5,0,Combo-1,,2,4,
28,Pacific Cambriam,16-32-064-25W6M ,Frac Stacks / Zippers / PPL,45554,45560,45595,14,40,28,70,4,14,0,Combo (1) + Grease Seacan(2),,2,4,
29,Whitecap,02-35-064-05-w6m,Frac Stacks / Zipper / PPL,45574,45572,45587,4,10,12,16,2,4,0,Greasy ,,2,4,
30,True Canadian (KEC),08-23-061-25-W5M,Frac Stacks / Zipper / PPL,45578,45575,45595,3,6,12,18,0,3,1,Grease Seacan(4)-New,,1,,
31,Whitecap,15-22-060-03W6,Frac Stacks / Zipper,45595,45598,45606,1,2,3,4,0,1,0,Greasy,,1,4,
32,ConocoPhilips,A-26-J ,Frac Stacks / Zipper ,45601,45620,45671,10,29,30,40,2,10,0,Combo (2) + Grease Seacan(3),,1,6,
33,True Canadian (KEC),09-11-062-25-W5M,Frac Stacks / Zipper / PPL,45598,45605,45981,3,11,8,18,2,3,1,Grease Seacan(4)-New,,1,,
34,Tourmaline,B-024-I/094-B-09,Frac Stacks / Zipper / PPL,45611,45621,45651,10,29,30,40,2,10,0,Lil' greasy + Grease Seacan(2),,1,6,
35,Whitecap,15-13-059-19W5M,Frac Stacks / Zipper,45992,45996,46006,2,4,5,8,4,2,1,Combo,,,4,
36,Nuvista,NUV-0731,Frac Stacks / Zipper / PPL,45638,45688,TBD,14,40,28,56,2,14,1,,10K,2,4,
37,Paramount,RMH#1 (04-07),Frac Stacks / Zipper / PPL,45654,45660,45674,3,6,6,12,2,3,0,Seacan3,,1,4,
38,Nuvista,nuv-10-29,Frac Stacks / Zipper,45656,TBD,TBD,5,10,15,20,2,5,0,,,,4,
39,Whitecap,08-05-061-20-W5M,Frac Stacks / Zipper / PPL,45660,45666,45698,5,13,15,20,2,5,0,,10K,,,
40,True Canadian (KEC),14-29-061-24-W5M,Frac Stacks / Zipper / PPL,45664,45669,45697,3,6,12,18,2,3,1,,15K,1,,
41,Paramount,FOX CREEK (01-14),Frac Stacks / Zipper / PPL,45669,45677,45702,4,10,12,16,2,4,0,,-,1,4,
42,Teine,04-15-052-11W5M,Frac Stacks / Zipper,45679,45682,45692,1,2,3,4,0,1,0, 1 20ft camo RD,-,2,2,
43,Tourmaline Ball Drop,C-2-G/94-B-16,"5"" Zipper / Dogbone / PFL",45676,45680,45695,7,0,14,0,0,0,2,,-,1,2,
44,Teine,14-11-052-12W5M,Frac Stacks / Zippers,45701,45703,45723,4,10,12,16,0,4,0,1,,2,4,
45,Whitecap,16-17-063-06w6m,Frac Stacks / Zipper / PPL,45687,45691,45699,3,7,9,12,2,3,0,1,,1,4,
46,Paramount,02-32-038-06W5,Frac Stacks / Zipper / PPL,45699,45700,45723,5,14,15,20,2,5,0,1,,1,4,
47,Nuvista,12-01-068-08W6M,Frac Stacks / Zipper / PPL,45717,45722,45740,5,13,15,20,2,5,0,1,,2,3,
48,Baytex,07-01-045-03W5 ,Frac Stacks / Zippers / PPL,45750,45754,45776,3,6,12,12,0,3,0,1,3,2,4,
49,ConocoPhilips,B-025-K/094-A-12,Frac Stacks / Zippers,45752,45765,45807,9,35,18,36,2,9,0,1,,2,4,
50,True Canadian (KEC),9-33-063-23-W5M,Frac Stacks / Zipper / PPL,45765,45772,45796,3,6,12,18,2,3,1,1,,1,,
51,Veren,03-30-64-02W6M,Frac Stacks / Coil Header,45762,45768,45806,6,2,26,24,4,6,1,1,,2,2,
52,Pacific Canbriam,07-01-08526W5M,Frac Stacks / Zippers / PPL,45770,45777,45801,8,23,16,32,2,8,2,1,8,2,5,
53,Whitecap,06-05-061-20w5 DUV,Frac Stacks / Zipper / PPL,45775,45781,45806,5,14,10,20,2,5,0,1,5,2,4,
54,NUVISTA,14-30-067-06W6M,Frac Stacks / Zipper / PPL,45779,45786,45796,4,10,12,16,2,8,0,1,,2,3,
55,Paramount,04-16-064-18W5 FOX,Frac Stacks / Zipper / PPL,45800,45806,45826,5,10,15,20,2,5,0,1,,2,4,
56,Baytex,08-08-046-02W5 ,Frac Stacks / Zipper / PPL,45796,45798,45820,3,6,9,12,0,3,0,1,,2,4,
57,Veren,06-03-070-05W6M,Frac Stacks / Coil Header,45805,45809,45658,6,4,34,24,0,6,1,1,,2,4,
58,WHITECAP,11-35-059-19W5M - DUV,Frac Stacks / Zipper / PPL,45809,45812,45836,5,13,15,20,2,5,0,1,,2,4,
59,WHITECAP,15-16-062-05W6M - MON,Frac Stacks / Zipper / PPL,45807,45816,45828,4,16,8,16,4,4,1,1,,2,,
60,Teine,01-06-53-11-W5M,Frac Stacks / Zipper,45815,45818,45843,4,10,12,16,0,4,0,1,,2,4,
61,True Canadian (KEC),01-18-059-23-W5M,Frac Stacks / Zipper / PPL,45818,45823,45833,3,14,3,18,2,3,1,1,,1,,
62,Veren,15-07-069-03W6,Frac Stacks / Coil Header,45838,45843,45865,4,4,22,16,0,4,0,1,,2,4,
63,WHITECAP,07-06-061-20-W5M - DUV,Frac Stacks / Zipper / PPL,45836,45843,45863,4,15,8,16,2,4,0,1,,2,4,
64,Whitecap,712,Frac Stacks / Zipper / PPL,45832,45839,45872,4,0,0,0,0,0,0,1,,2,4,
65,Teine,01-06-53-11-W5M,Frac Stacks / Zipper,45815,45818,45843,4,10,12,16,0,4,0,1,,2,4,
66,NUVISTA,16-35-067-06W6 ,Frac Stacks / Zipper / PPL,45848,45851,45858,3,10,9,12,2,8,0,1,,2,3,
67,Veren,12-36-065-04W6,Frac Stacks / Coil Header,45839,45844,45847,1,0,4,4,0,0,1,,,1,2,
68,PARAMOUNT,13-27-038-06W5,Frac Stacks / Zipper / PPL,45845,45851,45876,5,0,0,0,64,5,0,1,,2,4,
69,Whitecap,02-28-064-03W6,Frac Stacks / Coil Header,45842,45850,45880,5,0,0,0,0,0,0,1,,2,2,
70,True Canadian (KEC),01-27-061-24-W5M,Frac Stacks / Zipper / PPL,45848,45853,45873,3,14,3,18,2,3,1,1,,1,,
71,ConocoPhilips,01-24-88-23-W6M,Frac Stacks / Zippers,45853,45865,45888,4,0,0,0,0,0,0,1,,,,
72,NUVISTA,02-36-070-09W6M,Frac Stacks / Zipper / PPL,45878,45882,45895,4,0,0,0,0,4,0,1,,2,,
73,Veren,12-12-066-04W6,Frac Stacks / Coil Header,45899,45904,45930,4,0,0,0,0,4,1,1,,,,
74,Baytex,10-20-04-03W5,Frac Stacks / Zipper / PPL,45884,45887,45912,4,0,0,0,0,3,0,1,,2,4,
75,ConocoPhilips,08-29-88-24-W6M,Frac Stacks / Zippers,45876,45894,45954,12,0,0,0,0,0,0,,,,,
76,Whitecap,808,Frac Stacks / Zipper / PPL,45875,45882,45906,5,0,0,0,0,0,0,1,,2,4,
77,PARAMOUNT,16-30-38-06-W5M,Frac Stacks / Zippers / PPL,45874,45882,45915,6,0,0,0,0,0,0,,,,,
78,PACIFIC CANBRIAM,C-98-D/94-A-5,Frac Stacks / Zipper / PPL,TBD,45909,TBD,9,0,0,0,0,0,0,1,,2,4,
79,WHITECAP,08-05-61-20-W5M,Frac Stacks / Zipper / PPL,45921,45928,45952,4,0,0,0,0,0,0,,,,,
80,Veren,03-30-069-04W6,Frac Stacks / Coil Header,45924,45929,45954,5,0,0,0,0,5,1,1,,2,2,
81,AOC,TBD,Frac Stacks / Zipper / PPL,TBD,TBD,TBD,3,0,0,0,0,3,0,1,,2,4,
82,Nuvista,12-28-71-09-W6M,Frac Stacks / Zipper / PPL,TBD,45908,TBD,8,0,0,0,0,0,0,,,,,
83,Whitecap,662,Frac Stacks / Zipper / PPL,45915,45922,45946,5,0,0,0,0,0,0,1,,2,4,
84,NUVISTA,TBD,Frac Stacks / Zipper,TBD,45946,TBD,3,0,0,0,0,3,0,1,,2,3,
85,Veren,05-17-068-03W6,Frac Stacks / Coil Header,45955,45960,45970,3,0,0,0,0,3,0,1,,2,2,
86,PARAMOUNT,11-01-40-06-W5M,Frac Stacks / Zipper / PPL,45939,45947,45961,3,0,0,0,0,0,0,1,,2,4,
87,Whitecap,714,Frac Stacks / Zipper / PPL,45948,45955,45979,4,0,0,0,0,0,0,1,,2,4,
88,ConocoPhilips,01-32,Frac Stacks / Zippers,45992,46006,46053,9,0,0,0,0,0,0,,,,,
89,Veren,15-35-068-04W6,Frac Stacks / Coil Header,46018,46025,46047,4,0,0,0,0,4,0,1,,2,2,
90,Veren,06-03-065-03W6,Frac Stacks / Coil Header,46018,46025,46056,4,0,0,0,0,4,0,1,,2,2,
